plot_code,sub_plot,tree_tag,year,month,day,dend_pom_height_m,dendrometer_reading_mm,dendrometer_reading_replaced_mm,comments,status_code_aintact_bmoved_cbroken,mortality_aalive_ddead
PAN-02,21,998,2013,6,21,1.6,0.62,,,,
PAN-02,21,1000,2013,6,21,1.2,NA,,,,
PAN-02,22,1,2013,6,21,2.15,0,,,,
PAN-02,22,2,2013,6,21,1.65,NA,,,,
PAN-02,22,3,2013,6,21,1.8,0.34,,,,
PAN-02,22,4,2013,6,21,1.4,0,,,,
PAN-02,22,5,2013,6,21,1.55,-0.49,,,,
PAN-02,22,6,2013,6,21,1.55,2.54,,,,
PAN-02,22,7-A,2013,6,21,1.45,0.44,,,,
PAN-02,22,9,2013,6,21,1.65,NA,,,,
PAN-02,22,9.2.A,2013,6,21,1.65,NA,,,,
PAN-02,22,9.2.B,2013,6,21,1.4,NA,,,,
PAN-02,22,11,2013,6,21,1.6,NA,,,,
PAN-02,22,11.2.B,2013,6,21,1.25,NA,,,,
PAN-02,22,12,2013,6,21,1.55,NA,,roto,,
PAN-02,22,12,2013,6,21,1.43,NA,,,,
PAN-02,22,14.2.A,2013,6,21,1.3,NA,,,,
PAN-02,22,15,2013,6,21,1.45,NA,,,,
PAN-02,22,17,2013,6,21,1.75,1.24,,,,
PAN-02,22,19,2013,6,21,1.5,0,,,,
PAN-02,22,20,2013,6,21,1.9,-0.44,,,,
PAN-02,23,22,2013,6,21,1.45,0.84,,,,
PAN-02,23,22-2A,2013,6,21,1.4,0,,,,
PAN-02,23,24,2013,6,21,1.4,0,,,,
PAN-02,23,25,2013,6,21,1.4,0,,,,
PAN-02,23,26,2013,6,21,1.8,1.14,,,,
PAN-02,23,28,2013,6,21,1.55,-0.88,,,,
PAN-02,23,29,2013,6,21,1.7,-0.66,,,,
PAN-02,23,31,2013,6,21,1.7,0,,,,
PAN-02,23,32.2.A,2013,6,21,1.4,NA,,,,
PAN-02,23,34,2013,6,21,1.5,0,,,,
PAN-02,23,40,2013,6,21,1.7,0,,,,
PAN-02,24,37,2013,6,21,1.5,1.22,,,,
PAN-02,24,41,2013,6,21,4.9,NA,,,,
PAN-02,24,42,2013,6,21,1.45,NA,,,,
PAN-02,24,46,2013,6,21,1.6,0.76,,,,
PAN-02,24,48,2013,6,21,1.85,-1.02,,,,
PAN-02,24,49,2013,6,21,2,-0.68,,,,
PAN-02,24,50,2013,6,21,1.35,0.88,,,,
PAN-02,24,50.A,2013,6,21,1.5,NA,,,,
PAN-02,24,52,2013,6,21,1.9,0,,,,
