Plot,TypeMeas,Subplot,Meas,DD,MM,YY,Id,Subplot,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,17,30,10,14,46,454,0,0,0,0,0,17,72,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,18,30,10,14,46,455,0,0,0,0,0,18,76,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,19,30,10,14,46,456,0,0,0,0,0,20,81,0.19,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,20,30,10,14,46,458,0,0,0,0,0,21,86,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,21,30,10,14,46,459,0,0,0,0,0,22,91,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,22,30,10,14,46,460,0,0,0,0,0,23,96,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,23,30,10,14,46,461,0,0,0,0,0,25,100,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,24,30,10,14,46,462,0,0,0,0,0,26,105,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,25,30,10,14,46,463,0,0,0,0,0,27,110,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,26,30,10,14,46,465,0,0,0,0,0,28,115,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,27,30,10,14,46,466,0,0,0,0,0,29,120,0.2,0,0,854,8,
SPI,TOT,4,1,30,10,11,SPI_TOT_4_1_301011,4,1,7,28,30,10,14,47,468,0,0,0,0,0,31,124,0.2,0,0,854,8,a
SPI,TOT,4,2,30,10,11,SPI_TOT_4_2_301011,4,2,8,1,30,10,14,47,418,0,0,0,0,0,0,0,0,0,0,854,8,
SPI,TOT,4,2,30,10,11,SPI_TOT_4_2_301011,4,2,8,2,30,10,14,48,420,0,0,0,0,0,0,4,0,0,0,854,8,
SPI,TOT,4,2,30,10,11,SPI_TOT_4_2_301011,4,2,8,3,30,10,14,48,422,0,0,0,0,0,0,9,0,0,0,854,8,
SPI,TOT,4,2,30,10,11,SPI_TOT_4_2_301011,4,2,8,4,30,10,14,48,424,0,0,0,0,0,6,14,0.35,0,0,854,8,
