"","plot_code","sub_plot","tree_tag","year","month","day","pom_height","dbh_first_year","dbh_first_year_cm","dendrometer_reading_mm","comments","forma_tronco","igual_DAP","apertura","X","X_1","X_2","X_3","X_4","density","height_m","dbh","cenyear","cenmonth","cenday"
"133","ESP-01",2,41,2009,8,19,NA,NA,12,"0",NA,"e","igual",NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"134","ESP-01",2,41,2009,11,25,NA,NA,12,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"135","ESP-01",2,41,2010,1,26,NA,NA,12,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"136","ESP-01",2,41,2010,5,1,NA,NA,12,"2.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"137","ESP-01",2,41,2010,7,21,NA,NA,12,"3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"138","ESP-01",2,41,2010,7,21,NA,NA,12,"3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"139","ESP-01",2,41,2010,10,13,NA,NA,12,"4.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"140","ESP-01",2,41,2011,1,31,NA,NA,12,"7.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"141","ESP-01",2,41,2011,4,29,NA,NA,12,"8.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"142","ESP-01",2,41,2011,7,11,NA,NA,12,"8.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"143","ESP-01",2,41,2011,10,25,NA,NA,12,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"144","ESP-01",2,41,2012,5,2,NA,NA,12,"12.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,9,11.8,2006,7,4
"145","ESP-01",2,42,2009,8,19,NA,NA,12.9,"0",NA,"e","igual","0.7",NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"146","ESP-01",2,42,2009,11,25,NA,NA,12.9,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"147","ESP-01",2,42,2010,1,26,NA,NA,12.9,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"148","ESP-01",2,42,2010,5,1,NA,NA,12.9,"2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"149","ESP-01",2,42,2010,7,21,NA,NA,12.9,"3.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"150","ESP-01",2,42,2010,7,21,NA,NA,12.9,"3.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"151","ESP-01",2,42,2010,10,13,NA,NA,12.9,"4.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"152","ESP-01",2,42,2011,1,31,NA,NA,12.9,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"153","ESP-01",2,42,2011,4,29,NA,NA,12.9,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"154","ESP-01",2,42,2011,7,11,NA,NA,12.9,"6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"155","ESP-01",2,42,2011,10,25,NA,NA,12.9,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"156","ESP-01",2,42,2012,5,2,NA,NA,12.9,"11.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,7.5,12.6,2006,7,4
"157","ESP-01",2,43,2009,8,19,NA,NA,16.1,"-0.5",NA,"e","igual",NA,NA,NA,NA,NA,NA,0.52,13,15.9,2006,7,4
"158","ESP-01",2,43,2009,11,25,NA,NA,16.1,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,13,15.9,2006,7,4
"159","ESP-01",2,43,2010,1,26,NA,NA,16.1,"0.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,13,15.9,2006,7,4
"160","ESP-01",2,43,2010,5,1,NA,NA,16.1,"1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,13,15.9,2006,7,4
"161","ESP-01",2,43,2010,7,21,NA,NA,16.1,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,13,15.9,2006,7,4
