"","Tag.No","Old.No","T1","T2","X","Y","Family","genus","species","Old.Tree.Notes","D..2013.1","POM..2013.1","F1..2013.1","F2..2013.1","Height..2013.1","F5..2013.1","F3..2013.1","F4..2013.1","LI..2013.1","CI..2013.1","Census.Notes..2013.1","D..2014.2","POM..2014.2","F1","F2","Height..2014.2","F5","F3","F4","LI..2014.2","CI..2014.2","Tree.ID","D..2015.1","POM..2015.1","F1.1","F2.1","Height..2015.1","F5.1","F3.1","F4.1","LI..2015.1","CI..2015.1","Census.Notes","Tree.ID.1","New.Tag.No","wdensity","height","density","tag","plot","DBH.1","DBH.2","DBH.3","dbh_growth_yr","recruits","srink","missing","overgrown","value_replaced"
"53",53,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,280,1300,"a",1,9,4,0,0,0,1,NA,283,1300,"a","1",NA,NA,0,0,NA,NA,1105435,287,1300,"c","1",10000,NA,0,0,0,"4",NA,1105435,NA,0.540014577613546,9.5,0.540014577613546,"53","ACJ-01",28,28.3,28.7,0.262589928057555,"ok","ok","ok","ok",NA
"54",54,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,132,1300,"a",1,5,4,0,0,0,1,NA,135,1300,"c","1",NA,NA,0,0,NA,NA,1105436,135,1300,"c","1",6000,NA,0,0,0,"2c",NA,1105436,NA,0.639235706846016,5.5,0.639235706846016,"54","ACJ-01",13.2,13.5,13.5,0.262589928057555,"ok","ok","ok","ok",NA
"55",55,NA,2,NA,NA,NA,"Lauraceae","Persea","ruizii",NA,207,1300,"a",1,7,4,0,0,0,1,NA,205,1300,"c","1",NA,NA,0,0,NA,NA,1105437,206,1300,"c","1",7000,NA,0,0,0,"1",NA,1105437,NA,0.532941852631206,7,0.532941852631206,"55","ACJ-01",20.7,20.5,20.6,-0.175059952038369,"ok","ok","ok","ok",NA
"56",56,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","cochensis",NA,220,1300,"a",1,8,4,0,0,0,1,NA,222,1300,"c","1",NA,NA,0,0,NA,NA,1105438,222,1300,"c","1",10000,NA,0,0,0,"2c",NA,1105438,NA,0.639235706846016,9,0.639235706846016,"56","ACJ-01",22,22.2,22.2,0.175059952038369,"ok","ok","ok","ok",NA
"57",57,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,389,1300,"a",1,12,4,0,0,0,1,NA,393,1300,"a","1",NA,NA,0,0,NA,NA,1105439,397,1300,"a","1",13000,NA,0,0,0,"4",NA,1105439,NA,0.540014577613546,12.5,0.540014577613546,"57","ACJ-01",38.9,39.3,39.7,0.350119904076737,"ok","ok","ok","ok",NA
"58",58,NA,2,57,NA,NA,"Clethraceae","Clethra","cuneata",NA,289,1300,"a",1,12,4,0,0,0,1,NA,292,1300,"a","1",NA,NA,0,0,NA,NA,1105440,293,1300,"a","1",13000,NA,0,0,0,"4",NA,1105440,NA,0.540014577613546,12.5,0.540014577613546,"58","ACJ-01",28.9,29.2,29.3,0.262589928057555,"ok","ok","ok","ok",NA
"59",59,NA,2,NA,NA,NA,"Clethraceae","Clethra","cuneata",NA,158,1300,"a",1,7,4,0,0,0,1,NA,159,1300,"a","1",NA,NA,0,0,NA,NA,1105441,159,1300,"a","1",5000,NA,0,0,0,"1",NA,1105441,NA,0.540014577613546,6,0.540014577613546,"59","ACJ-01",15.8,15.9,15.9,0.0875299760191843,"ok","ok","ok","ok",NA
"60",60,NA,2,NA,NA,NA,"Cunoniaceae","Weinmannia","fagaroides",NA,141,1300,"a",1,5,4,0,0,0,1,NA,142,1300,"c","1",NA,NA,0,0,NA,NA,1105442,142,1300,"cm","1",6000,NA,0,0,2,"2c",NA,1105442,NA,0.639235706846016,5.5,0.639235706846016,"60","ACJ-01",14.1,14.2,14.2,0.0875299760191843,"ok","ok","ok","ok",NA
"61",60.1,NA,2,NA,NA,NA,"Indet","Indet","indet","Recluta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,1300,"an","1",NA,NA,0,0,NA,NA,1128751,205,1300,"cm","1",8000,NA,0,0,3,"4",NA,1128751,NA,0.593842984333333,8,0.593842984333333,"60.1","ACJ-01",NA,NA,NA,NA,"recruit","ok","ok","ok",NA
"62",61,NA,2,NA,NA,NA,"Melastomataceae","Miconia","setulosa",NA,391,1300,"a",1,7,4,0,0,0,1,NA,384,1300,"a","1",NA,NA,0,0,NA,NA,1105443,0,1300,"0","aps",0,NA,0,0,NA,NA,NA,1105443,NA,0.599808019773585,3.5,0.599808019773585,"61","ACJ-01",39.1,38.4,38.4,-0.612709832134295,"ok","shrunk.dbh.3","ok","ok",NA
