Plot	Date.value	DataType	Core	Combined.code	Combined.code.2	Search.time.cum	CoarseRoot.cum	FineRoot.cum	TotRoot.cum	Search.Int	DaysBetween
Belian	40775	Stock	14	40775.Belian.14	Belian.40775.14	40	9.72	5.41	15.13	4	1
Belian	40775	Stock	15	40775.Belian.15	Belian.40775.15	10	11.85	1.28	13.13	1	1
Belian	40775	Stock	15	40775.Belian.15	Belian.40775.15	20	13.11	2.07	15.18	2	1
Belian	40775	Stock	15	40775.Belian.15	Belian.40775.15	30	13.33	2.78	16.11	3	1
Belian	40775	Stock	15	40775.Belian.15	Belian.40775.15	40	13.7	3.04	16.74	4	1
Belian	40775	Stock	16	40775.Belian.16	Belian.40775.16	10	1.94	2.2	4.14	1	1
Belian	40775	Stock	16	40775.Belian.16	Belian.40775.16	20	2.17	2.75	4.92	2	1
Belian	40775	Stock	16	40775.Belian.16	Belian.40775.16	30	2.33	3.11	5.44	3	1
Belian	40775	Stock	16	40775.Belian.16	Belian.40775.16	40	2.54	3.41	5.95	4	1
BSouth	40805	Stock	1	40805.BSouth.01	BSouth.40805.1	10	2.79	0.93	3.72	1	1
BSouth	40805	Stock	1	40805.BSouth.01	BSouth.40805.1	20	3.25	1.15	4.4	2	1
BSouth	40805	Stock	1	40805.BSouth.01	BSouth.40805.1	30	3.25	1.34	4.59	3	1
BSouth	40805	Stock	1	40805.BSouth.01	BSouth.40805.1	40	3.3	1.41	4.71	4	1
BSouth	40805	Stock	2	40805.BSouth.02	BSouth.40805.2	10	1.15	1.26	2.41	1	1
BSouth	40805	Stock	2	40805.BSouth.02	BSouth.40805.2	20	1.41	1.62	3.03	2	1
BSouth	40805	Stock	2	40805.BSouth.02	BSouth.40805.2	30	1.41	1.81	3.22	3	1
BSouth	40805	Stock	2	40805.BSouth.02	BSouth.40805.2	40	1.49	1.9	3.39	4	1
BSouth	40805	Stock	3	40805.BSouth.03	BSouth.40805.3	10	1.44	1.77	3.21	1	1
BSouth	40805	Stock	3	40805.BSouth.03	BSouth.40805.3	20	1.44	1.96	3.4	2	1
BSouth	40805	Stock	3	40805.BSouth.03	BSouth.40805.3	30	1.44	2.15	3.59	3	1
BSouth	40805	Stock	3	40805.BSouth.03	BSouth.40805.3	40	1.44	2.21	3.65	4	1
BSouth	40805	Stock	4	40805.BSouth.04	BSouth.40805.4	10	2.85	1.28	4.13	1	1
BSouth	40805	Stock	4	40805.BSouth.04	BSouth.40805.4	20	4.46	1.74	6.2	2	1
BSouth	40805	Stock	4	40805.BSouth.04	BSouth.40805.4	30	5.26	2.01	7.27	3	1
BSouth	40805	Stock	4	40805.BSouth.04	BSouth.40805.4	40	5.44	2.23	7.67	4	1
BSouth	40805	Stock	5	40805.BSouth.05	BSouth.40805.5	10	4.35	2.38	6.73	1	1
BSouth	40805	Stock	5	40805.BSouth.05	BSouth.40805.5	20	4.4	3.03	7.43	2	1
BSouth	40805	Stock	5	40805.BSouth.05	BSouth.40805.5	30	4.4	3.54	7.94	3	1
BSouth	40805	Stock	5	40805.BSouth.05	BSouth.40805.5	40	4.4	3.84	8.24	4	1
BSouth	40805	Stock	6	40805.BSouth.06	BSouth.40805.6	10	1.66	0.56	2.22	1	1
