Plot,TypeMeas,Tipo,Subplot,Meas,DD,MM,YY,Id,Subplot,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,6,30,10,8,51,439,0,0,0,0,0,11,24,0.39,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,7,30,10,8,51,442,0,0,0,0,0,13,28,0.39,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,8,30,10,8,51,444,0,0,0,0,0,16,33,0.39,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,9,30,10,8,52,447,0,0,0,0,0,18,38,0.39,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,10,30,10,8,52,449,0,0,0,0,0,20,43,0.39,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,11,30,10,8,52,452,0,0,0,0,0,23,48,0.4,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,12,30,10,8,52,454,0,0,0,0,0,26,52,0.4,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,13,30,10,8,52,457,0,0,0,0,0,28,57,0.4,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,14,30,10,8,52,460,0,0,0,0,0,31,62,0.41,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,15,30,10,8,52,463,0,0,0,0,0,34,67,0.41,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,16,30,10,8,52,466,0,0,0,0,0,37,72,0.42,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,17,30,10,8,52,469,0,0,0,0,0,40,76,0.42,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,18,30,10,8,52,472,0,0,0,0,0,43,81,0.43,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,19,30,10,8,52,474,0,0,0,0,0,46,86,0.43,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,20,30,10,8,52,477,0,0,0,0,0,49,91,0.44,0,0,856,8,
SPI,COMP,M2H,1,1,30,10,11,SPI_COMP_M2H_1_1_301011,1,6,1,6,21,30,10,8,52,480,0,0,0,0,0,52,96,0.44,0,0,856,8,a
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,1,30,10,8,55,428,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,2,30,10,8,55,432,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,3,30,10,8,55,433,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,4,30,10,8,55,435,0,0,0,0,0,7,14,0.41,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,5,30,10,8,55,436,0,0,0,0,0,8,19,0.35,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,6,30,10,8,55,438,0,0,0,0,0,9,24,0.32,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,7,30,10,8,55,439,0,0,0,0,0,10,28,0.3,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,8,30,10,8,55,441,0,0,0,0,0,12,33,0.29,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,9,30,10,8,55,443,0,0,0,0,0,13,38,0.29,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,10,30,10,8,56,444,0,0,0,0,0,15,43,0.28,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,11,30,10,8,56,446,0,0,0,0,0,16,48,0.28,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,12,30,10,8,56,448,0,0,0,0,0,18,52,0.28,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,13,30,10,8,56,450,0,0,0,0,0,20,57,0.29,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,14,30,10,8,56,452,0,0,0,0,0,22,62,0.29,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,15,30,10,8,56,454,0,0,0,0,0,24,67,0.29,0,0,856,8,
SPI,COMP,SNH,1,1,30,10,11,SPI_COMP_SNH_1_1_301011,1,7,1,7,16,30,10,8,56,456,0,0,0,0,0,26,72,0.3,0,0,856,8,
