Plot,TypeMeas,Tipo,Subplot,Tubo,Meas,DD,MM,YY,Id,Tubo,Meas,;Plot,RecNo,Day,Month,Hour,Min,CO2 Ref,mb Ref,mbR Temp,Input A,Input B,Input C,Input D,Input E,Input F,Input G,Input H,ATMP,Probe Type,a
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,13,30,10,10,43,420,0,0,0,0,0,7,57,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,14,30,10,10,43,420,0,0,0,0,0,8,62,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,15,30,10,10,43,420,0,0,0,0,0,8,67,0.1,0,0,857,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,16,30,10,10,43,421,0,0,0,0,0,9,72,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,17,30,10,10,43,422,0,0,0,0,0,10,76,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,18,30,10,10,44,422,0,0,0,0,0,10,81,0.1,0,0,857,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,19,30,10,10,44,423,0,0,0,0,0,11,86,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,20,30,10,10,44,424,0,0,0,0,0,11,91,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,21,30,10,10,44,425,0,0,0,0,0,12,96,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,22,30,10,10,44,425,0,0,0,0,0,13,100,0.1,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,23,30,10,10,44,427,0,0,0,0,0,14,105,0.11,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,24,30,10,10,44,428,0,0,0,0,0,15,110,0.11,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,25,30,10,10,44,428,0,0,0,0,0,16,115,0.11,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,26,30,10,10,44,429,0,0,0,0,0,16,120,0.11,0,0,856,8,
SPI,CTRL,SD,13,4,1,30,10,11,SPI_CTRL_SD_13_4_1_301011,4,1,24,27,30,10,10,44,430,0,0,0,0,0,17,124,0.11,0,0,856,8,a
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,1,30,10,10,46,414,0,0,0,0,0,0,0,0,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,2,30,10,10,46,415,0,0,0,0,0,0,4,0,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,3,30,10,10,46,416,0,0,0,0,0,0,9,0,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,4,30,10,10,46,418,0,0,0,0,0,4,14,0.23,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,5,30,10,10,46,418,0,0,0,0,0,4,19,0.19,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,6,30,10,10,46,419,0,0,0,0,0,5,24,0.18,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,7,30,10,10,46,419,0,0,0,0,0,5,28,0.15,0,0,857,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,8,30,10,10,46,422,0,0,0,0,0,7,33,0.17,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,9,30,10,10,46,423,0,0,0,0,0,8,38,0.17,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,10,30,10,10,46,424,0,0,0,0,0,9,43,0.17,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,11,30,10,10,46,425,0,0,0,0,0,10,48,0.18,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,12,30,10,10,47,426,0,0,0,0,0,11,52,0.18,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,13,30,10,10,47,428,0,0,0,0,0,13,57,0.19,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,14,30,10,10,47,429,0,0,0,0,0,14,62,0.19,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,15,30,10,10,47,430,0,0,0,0,0,16,67,0.19,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,16,30,10,10,47,432,0,0,0,0,0,17,72,0.2,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,17,30,10,10,47,432,0,0,0,0,0,18,76,0.2,0,0,857,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,18,30,10,10,47,434,0,0,0,0,0,20,81,0.2,0,0,857,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,19,30,10,10,47,436,0,0,0,0,0,21,86,0.2,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,20,30,10,10,47,438,0,0,0,0,0,23,91,0.2,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,21,30,10,10,47,438,0,0,0,0,0,24,96,0.2,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,22,30,10,10,47,440,0,0,0,0,0,25,100,0.2,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,23,30,10,10,47,441,0,0,0,0,0,27,105,0.21,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,24,30,10,10,48,443,0,0,0,0,0,28,110,0.21,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,25,30,10,10,48,444,0,0,0,0,0,30,115,0.21,0,0,856,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,26,30,10,10,48,445,0,0,0,0,0,31,120,0.21,0,0,857,8,
SPI,CTRL,SD,13,5,1,30,10,11,SPI_CTRL_SD_13_5_1_301011,5,1,25,27,30,10,10,48,447,0,0,0,0,0,32,124,0.21,0,0,856,8,a
SPI,CTRL,CD,13,6,1,30,10,11,SPI_CTRL_CD_13_6_1_301011,6,1,26,1,30,10,10,49,416,0,0,0,0,0,0,0,0,0,0,857,8,
SPI,CTRL,CD,13,6,1,30,10,11,SPI_CTRL_CD_13_6_1_301011,6,1,26,2,30,10,10,49,419,0,0,0,0,0,0,4,0,0,0,856,8,
